"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.225824792E0,1.264316251E0,2.300424154E0,-9.466805863E-1
3.235756792E0,1.741875749E0,2.168955649E0,-5.619443214E-1
3.245687792E0,2.081866342E0,1.364719960E0,6.041869462E-2
3.255619792E0,1.782808890E0,2.280934507E-1,1.361227711E0
3.265550792E0,5.581837577E-1,-4.561705291E-2,1.384957466E0
3.275482792E0,-1.973811697E-1,-5.025655541E-1,5.563169611E-1
3.285414792E0,-5.928421053E-1,-8.582581142E-1,1.365652299E-1
3.295345792E0,-8.949335318E-1,-8.739078945E-1,-1.374405581E-1
3.305277792E0,-1.018478182E0,-6.309981841E-1,-4.135267854E-2
3.315209792E0,-7.813236666E-1,2.573944330E-3,-6.929359853E-2
3.325140792E0,-3.363516152E-1,3.108859313E-1,-2.697525233E-1
3.335072792E0,-8.061050436E-1,8.000844580E-1,-2.234911072E-1
3.345004792E0,-1.736664125E0,1.057996954E0,-3.522479653E-2
3.354935792E0,-1.927881672E0,8.305966911E-1,1.284747884E0
3.364867792E0,-2.224429061E0,8.719639876E-1,2.898788150E0
3.374798792E0,-2.570549437E0,4.005585381E-1,3.864500254E0
3.384730792E0,-2.087631697E0,1.192162487E-1,4.236001346E0
3.394662792E0,-1.429337541E0,-1.347470382E-1,4.197565843E0
3.404593792E0,-7.470421721E-1,-6.326745808E-1,3.606531039E0
3.414525792E0,-2.832736979E-1,-8.482625914E-1,2.908372906E0
3.424457792E0,-3.295772870E-1,-9.738365176E-1,2.142768309E0
3.434388792E0,-3.240756418E-1,-8.295655346E-1,1.171488487E0
3.444320792E0,1.077959787E-1,-6.538344848E-1,2.786753744E-1
3.454252792E0,8.788550044E-1,-3.195658305E-1,-2.621949971E-1
3.464183792E0,1.215957877E0,2.430944824E-1,-6.571147728E-1
3.474115792E0,1.052221952E0,6.433846334E-1,-5.478577942E-1
3.484046792E0,6.414212114E-1,6.068942070E-1,-5.557275617E-1
3.493978792E0,1.871012530E-1,4.939833033E-1,-7.121879429E-1
3.503910792E0,-4.848436667E-1,2.293070403E-1,-1.152842301E0
3.513841792E0,-1.219458020E0,9.193752587E-2,-1.696291879E0
3.523773792E0,-1.345078578E0,-2.150301862E-1,-2.076517602E0
3.533705792E0,-1.136773713E0,-5.576679602E-1,-2.207177728E0
3.543636792E0,-1.710893107E-1,-8.871015519E-1,-1.501219994E0
3.553568792E0,7.479788230E-1,-8.248710975E-1,-2.936039007E-1
3.563499792E0,6.522412647E-1,-7.099198079E-1,-2.613360411E-1
3.573431792E0,-1.650035287E-1,-8.396850184E-1,-9.871526742E-1
3.583363792E0,-8.808086322E-1,-6.501846528E-1,-1.129403737E0
3.593294792E0,-1.227729638E0,-2.798246446E-1,-1.663250433E0
3.603226792E0,-1.427372291E0,7.104016185E-2,-2.177037671E0
3.613158792E0,-1.662435769E0,6.095315936E-1,-2.094905925E0
3.623089792E0,-1.083285212E0,7.688477549E-1,-2.091173648E0
3.633021792E0,-6.994080491E-1,9.146515855E-1,-1.501998258E0
3.642952792E0,-2.033953965E-2,8.623201749E-1,-5.853770381E-1
3.652884792E0,5.394538104E-1,3.802362478E-1,1.349683553E-1
3.662816792E0,5.117350846E-1,2.811955243E-2,-1.688722658E-1
3.672747792E0,2.762014905E-1,-2.521635139E-1,-1.161169905E0
3.682679792E0,2.535827062E-1,-7.339571267E-2,-1.995892099E0
3.692611792E0,4.642924578E-1,3.451295650E-1,-2.431983290E0
3.702542792E0,8.722851460E-1,9.407021007E-1,-2.385962779E0
3.712474792E0,1.289922085E0,1.203084209E0,-1.790699853E0
3.722406792E0,1.506602210E0,1.463739341E0,-7.738146722E-2
3.732337792E0,1.396011627E0,1.210729735E0,1.577548378E0
3.742269792E0,1.230147900E0,4.143506581E-1,2.843027347E0
3.752200792E0,1.012705372E0,-1.408436376E-1,3.303798466E0
3.762132792E0,7.434910849E-1,-3.628188542E-1,2.307061620E0
3.772064792E0,5.768337444E-1,-1.302999383E-1,6.719590992E-1
3.781995792E0,8.413636809E-1,4.028158557E-1,-7.562092906E-1
3.791927792E0,1.067291908E0,1.106799863E0,-1.274829252E0
3.801859792E0,1.173433928E0,1.383336618E0,-7.979449618E-1
3.811790792E0,1.174679166E0,1.132083516E0,6.129694641E-2
3.821722792E0,1.209089518E0,5.875264746E-1,1.413771960E0
3.831653792E0,9.699434415E-1,-1.772419703E-1,3.209153679E0
3.841585792E0,4.672505642E-1,-9.720531169E-1,4.218370237E0
3.851517792E0,9.624063805E-2,-1.434129626E0,4.223469594E0
